County,Median Home Price 2025,Monthly Payment 2025
St. Louis County,"$249,220.00","$1,430.00"
Scott County,"$413,150.00","$2,370.00"
Sherburne County,"$383,430.00","$2,200.00"
Sibley County,"$229,910.00","$1,320.00"
Stearns County,"$304,680.00","$1,750.00"
Steele County,"$250,440.00","$1,440.00"
Stevens County,"$193,330.00","$1,110.00"
Swift County,"$157,300.00",$900.00
Todd County,"$201,460.00","$1,160.00"
Traverse County,"$117,730.00",$680.00
Wabasha County,"$256,590.00","$1,470.00"
Wadena County,"$182,320.00","$1,050.00"
Waseca County,"$227,980.00","$1,310.00"
Washington County,"$434,510.00","$2,500.00"
Watonwan County,"$162,110.00",$930.00
Wilkin County,"$184,240.00","$1,060.00"
Winona County,"$238,350.00","$1,370.00"
Wright County,"$371,810.00","$2,140.00"
Yellow Medicine County,"$158,470.00",$910.00
Adams County,"$113,220.00",$650.00
Alcorn County,"$140,910.00",$810.00
Amite County,"$95,640.00",$550.00
Attala County,"$114,600.00",$660.00
Benton County,"$116,410.00",$670.00
Bolivar County,"$131,640.00",$760.00
Calhoun County,"$88,300.00",$510.00
Carroll County,"$112,370.00",$650.00
Chickasaw County,"$106,930.00",$610.00
Choctaw County,"$111,300.00",$640.00
Claiborne County,"$86,060.00",$490.00
Clarke County,"$121,740.00",$700.00
Clay County,"$123,120.00",$710.00
Coahoma County,"$92,020.00",$530.00
Copiah County,"$109,750.00",$630.00
Covington County,"$104,910.00",$600.00
DeSoto County,"$283,630.00","$1,630.00"
Forrest County,"$176,500.00","$1,010.00"
Franklin County,"$101,290.00",$580.00
Greene County,"$100,330.00",$580.00
Grenada County,"$131,430.00",$760.00
Hancock County,"$214,690.00","$1,230.00"
Harrison County,"$222,280.00","$1,280.00"
Hinds County,"$170,650.00",$980.00
Holmes County,"$81,480.00",$470.00
Humphreys County,"$94,580.00",$540.00
Issaquena County,"$96,600.00",$560.00
Itawamba County,"$130,370.00",$750.00
Jasper County,"$126,320.00",$730.00
Jefferson County,"$86,700.00",$500.00
Jefferson Davis County,"$92,770.00",$530.00
Jones County,"$170,410.00",$980.00
Kemper County,"$96,070.00",$550.00
Lafayette County,"$277,460.00","$1,590.00"
Lamar County,"$241,830.00","$1,390.00"
Lauderdale County,"$155,080.00",$890.00
Lawrence County,"$111,410.00",$640.00
Leake County,"$122,060.00",$700.00
Lee County,"$208,970.00","$1,200.00"
Leflore County,"$104,590.00",$600.00
Lincoln County,"$140,380.00",$810.00
Lowndes County,"$167,640.00",$960.00
Madison County,"$354,920.00","$2,040.00"
Marion County,"$124,620.00",$720.00
Marshall County,"$177,350.00","$1,020.00"
Monroe County,"$122,700.00",$710.00
Montgomery County,"$117,910.00",$680.00
Neshoba County,"$102,890.00",$590.00
Newton County,"$109,380.00",$630.00
Noxubee County,"$90,750.00",$520.00
Oktibbeha County,"$233,790.00","$1,340.00"
Panola County,"$129,410.00",$740.00
Pearl River County,"$185,860.00","$1,070.00"
Perry County,"$131,280.00",$750.00
Pike County,"$117,690.00",$680.00
Pontotoc County,"$150,920.00",$870.00
Prentiss County,"$124,080.00",$710.00
Quitman County,"$73,060.00",$420.00
Rankin County,"$249,840.00","$1,440.00"
Scott County,"$95,750.00",$550.00
Sharkey County,"$115,030.00",$660.00
Simpson County,"$115,980.00",$670.00
Smith County,"$121,420.00",$700.00
Stone County,"$169,700.00",$980.00
Sunflower County,"$110,130.00",$630.00
Tallahatchie County,"$87,550.00",$500.00
Tate County,"$178,170.00","$1,020.00"
Tippah County,"$136,760.00",$790.00
Tishomingo County,"$141,120.00",$810.00
Tunica County,"$159,120.00",$910.00
Union County,"$169,460.00",$970.00
Walthall County,"$128,450.00",$740.00
Warren County,"$153,800.00",$880.00
Washington County,"$105,760.00",$610.00
Wayne County,"$93,730.00",$540.00
Webster County,"$116,630.00",$670.00
Wilkinson County,"$85,420.00",$490.00
Winston County,"$129,090.00",$740.00
Yalobusha County,"$103,530.00",$600.00
Yazoo County,"$137,610.00",$790.00
Adair County,"$170,990.00",$980.00
Andrew County,"$211,960.00","$1,220.00"
Atchison County,"$107,840.00",$620.00
Audrain County,"$130,360.00",$750.00
Barry County,"$185,350.00","$1,070.00"
Barton County,"$145,790.00",$840.00
Bates County,"$162,200.00",$930.00
Benton County,"$176,560.00","$1,010.00"
Bollinger County,"$150,630.00",$870.00
Boone County,"$295,450.00","$1,700.00"
Buchanan County,"$179,870.00","$1,030.00"
Butler County,"$148,800.00",$860.00
Caldwell County,"$164,200.00",$940.00
Callaway County,"$212,200.00","$1,220.00"
Camden County,"$290,190.00","$1,670.00"
Cape Girardeau County,"$236,200.00","$1,360.00"
Carroll County,"$118,460.00",$680.00
Carter County,"$158,230.00",$910.00
Cass County,"$308,480.00","$1,770.00"
Cedar County,"$174,200.00","$1,000.00"
Chariton County,"$127,460.00",$730.00
Christian County,"$327,020.00","$1,880.00"
Clark County,"$126,070.00",$720.00
Clay County,"$296,750.00","$1,710.00"
Clinton County,"$214,070.00","$1,230.00"
Cole County,"$247,340.00","$1,420.00"
Cooper County,"$211,290.00","$1,210.00"
Crawford County,"$176,160.00","$1,010.00"
Dade County,"$168,520.00",$970.00
Dallas County,"$159,090.00",$910.00
Daviess County,"$159,940.00",$920.00
DeKalb County,"$180,950.00","$1,040.00"
Dent County,"$160,480.00",$920.00
Douglas County,"$176,240.00","$1,010.00"
Dunklin County,"$100,550.00",$580.00
Franklin County,"$243,980.00","$1,400.00"
Gasconade County,"$181,060.00","$1,040.00"
Gentry County,"$131,860.00",$760.00
Greene County,"$243,480.00","$1,400.00"
Grundy County,"$114,710.00",$660.00
Harrison County,"$115,130.00",$660.00
Henry County,"$164,550.00",$950.00
Hickory County,"$132,070.00",$760.00
Holt County,"$131,110.00",$750.00
Howard County,"$157,600.00",$910.00
Howell County,"$172,590.00",$990.00
Iron County,"$121,140.00",$700.00
Jackson County,"$239,010.00","$1,370.00"
Jasper County,"$183,320.00","$1,050.00"
Jefferson County,"$249,490.00","$1,430.00"
Johnson County,"$237,340.00","$1,360.00"
Knox County,"$104,200.00",$600.00
Laclede County,"$169,380.00",$970.00
Lafayette County,"$209,880.00","$1,210.00"
Lawrence County,"$171,310.00",$980.00
Lewis County,"$127,460.00",$730.00
Lincoln County,"$238,560.00","$1,370.00"
Linn County,"$125,750.00",$720.00
Livingston County,"$148,260.00",$850.00
McDonald County,"$139,940.00",$800.00
Macon County,"$136,150.00",$780.00
Madison County,"$167,130.00",$960.00
Maries County,"$207,010.00","$1,190.00"
Marion County,"$169,490.00",$970.00
Mercer County,"$102,160.00",$590.00
Miller County,"$182,030.00","$1,050.00"
Mississippi County,"$107,520.00",$620.00
Moniteau County,"$182,020.00","$1,050.00"
Monroe County,"$158,010.00",$910.00
Montgomery County,"$183,640.00","$1,060.00"
Morgan County,"$193,390.00","$1,110.00"
New Madrid County,"$113,100.00",$650.00
Newton County,"$181,450.00","$1,040.00"
Nodaway County,"$176,990.00","$1,020.00"
Oregon County,"$126,180.00",$730.00
Osage County,"$222,470.00","$1,280.00"
Ozark County,"$167,660.00",$960.00
Pemiscot County,"$102,810.00",$590.00
Perry County,"$203,040.00","$1,170.00"
Pettis County,"$173,130.00","$1,000.00"
Phelps County,"$208,940.00","$1,200.00"
Pike County,"$138,720.00",$800.00
Platte County,"$373,550.00","$2,150.00"
Polk County,"$199,500.00","$1,150.00"
Pulaski County,"$203,360.00","$1,170.00"
Putnam County,"$119,640.00",$690.00
Ralls County,"$164,450.00",$950.00
Randolph County,"$152,120.00",$870.00
Ray County,"$196,360.00","$1,130.00"
Reynolds County,"$128,530.00",$740.00
Ripley County,"$118,780.00",$680.00
St. Charles County,"$345,540.00","$1,990.00"
St. Clair County,"$152,760.00",$880.00
Ste. Genevieve County,"$231,130.00","$1,330.00"
St. Francois County,"$194,140.00","$1,120.00"
St. Louis County,"$289,080.00","$1,660.00"
Saline County,"$149,650.00",$860.00
Schuyler County,"$126,710.00",$730.00
Scotland County,"$151,260.00",$870.00
Scott County,"$154,050.00",$890.00
Shannon County,"$161,870.00",$930.00
Shelby County,"$92,410.00",$530.00
Stoddard County,"$145,150.00",$830.00
Stone County,"$253,530.00","$1,460.00"
Sullivan County,"$110,740.00",$640.00
Taney County,"$218,480.00","$1,260.00"
Texas County,"$132,180.00",$760.00
Vernon County,"$146,540.00",$840.00
Warren County,"$255,970.00","$1,470.00"
Washington County,"$125,650.00",$720.00
Wayne County,"$121,240.00",$700.00
Webster County,"$230,540.00","$1,330.00"
Worth County,"$101,410.00",$580.00
Wright County,"$163,270.00",$940.00
Beaverhead County,"$302,760.00","$1,740.00"
Big Horn County,"$159,110.00",$910.00
Blaine County,"$134,100.00",$770.00
Broadwater County,"$391,660.00","$2,250.00"
Carbon County,"$389,080.00","$2,240.00"
Carter County,"$189,600.00","$1,090.00"
Cascade County,"$301,400.00","$1,730.00"
Chouteau County,"$198,730.00","$1,140.00"
Custer County,"$219,240.00","$1,260.00"
Daniels County,"$190,890.00","$1,100.00"
Dawson County,"$201,200.00","$1,160.00"
Deer Lodge County,"$225,140.00","$1,290.00"
Fallon County,"$254,450.00","$1,460.00"
Fergus County,"$217,630.00","$1,250.00"
Flathead County,"$612,830.00","$3,520.00"
Gallatin County,"$742,100.00","$4,270.00"
Garfield County,"$191,430.00","$1,100.00"
Glacier County,"$164,700.00",$950.00
Golden Valley County,"$218,910.00","$1,260.00"
Granite County,"$364,500.00","$2,100.00"
Hill County,"$201,410.00","$1,160.00"
Jefferson County,"$438,040.00","$2,520.00"
Judith Basin County,"$229,970.00","$1,320.00"
Lake County,"$396,390.00","$2,280.00"
Lewis and Clark County,"$407,440.00","$2,340.00"
Liberty County,"$125,400.00",$720.00
Lincoln County,"$277,750.00","$1,600.00"
McCone County,"$211,940.00","$1,220.00"
Madison County,"$472,940.00","$2,720.00"
Meagher County,"$262,400.00","$1,510.00"
Mineral County,"$336,690.00","$1,940.00"
Missoula County,"$533,300.00","$3,070.00"
Musselshell County,"$237,490.00","$1,370.00"
Park County,"$461,340.00","$2,650.00"
Petroleum County,"$186,490.00","$1,070.00"
Phillips County,"$187,890.00","$1,080.00"
Pondera County,"$192,400.00","$1,110.00"
Powder River County,"$160,400.00",$920.00
Powell County,"$274,530.00","$1,580.00"
Prairie County,"$179,400.00","$1,030.00"
Ravalli County,"$467,030.00","$2,680.00"
Richland County,"$278,070.00","$1,600.00"
Roosevelt County,"$128,190.00",$740.00
Rosebud County,"$202,810.00","$1,170.00"
Sanders County,"$347,640.00","$2,000.00"
Sheridan County,"$119,820.00",$690.00
Silver Bow County,"$239,960.00","$1,380.00"
Stillwater County,"$381,780.00","$2,190.00"
Sweet Grass County,"$317,260.00","$1,820.00"
Teton County,"$252,840.00","$1,450.00"
Toole County,"$201,200.00","$1,160.00"
Treasure County,"$231,150.00","$1,330.00"
Valley County,"$213,220.00","$1,230.00"
Wheatland County,"$185,420.00","$1,070.00"
Wibaux County,"$99,100.00",$570.00
Yellowstone County,"$367,950.00","$2,110.00"
Adams County,"$200,980.00","$1,160.00"
Antelope County,"$126,450.00",$730.00
Arthur County,"$204,230.00","$1,170.00"
Banner County,"$179,890.00","$1,030.00"
Blaine County,"$110,440.00",$630.00
Boone County,"$178,160.00","$1,020.00"
Box Butte County,"$174,270.00","$1,000.00"
Boyd County,"$112,500.00",$650.00
Brown County,"$108,390.00",$620.00
Buffalo County,"$256,150.00","$1,470.00"
Burt County,"$135,650.00",$780.00
Butler County,"$179,240.00","$1,030.00"
Cass County,"$258,650.00","$1,490.00"
Cedar County,"$189,840.00","$1,090.00"
Chase County,"$193,300.00","$1,110.00"
Cherry County,"$147,110.00",$850.00
Cheyenne County,"$139,650.00",$800.00
Clay County,"$158,260.00",$910.00
Colfax County,"$139,330.00",$800.00
Cuming County,"$189,190.00","$1,090.00"
Custer County,"$173,620.00","$1,000.00"
Dakota County,"$175,260.00","$1,010.00"
Dawes County,"$158,470.00",$910.00
Dawson County,"$170,700.00",$980.00
Deuel County,"$105,140.00",$600.00
Dixon County,"$147,420.00",$850.00
Dodge County,"$203,470.00","$1,170.00"
Douglas County,"$287,420.00","$1,650.00"
Dundy County,"$127,860.00",$730.00
Fillmore County,"$141,920.00",$820.00
Franklin County,"$107,200.00",$620.00
Frontier County,"$150,140.00",$860.00
Furnas County,"$99,300.00",$570.00
Gage County,"$180,760.00","$1,040.00"
Garden County,"$103,300.00",$590.00
Garfield County,"$156,740.00",$900.00
Gosper County,"$219,270.00","$1,260.00"
Grant County,"$123,210.00",$710.00
Greeley County,"$94,980.00",$550.00
Hall County,"$224,890.00","$1,290.00"
Hamilton County,"$258,210.00","$1,480.00"
Harlan County,"$159,230.00",$920.00
Hayes County,"$122,020.00",$700.00
Hitchcock County,"$96,060.00",$550.00
Holt County,"$164,420.00",$950.00
Hooker County,"$92,380.00",$530.00
Howard County,"$221,970.00","$1,280.00"
Jefferson County,"$127,210.00",$730.00
Johnson County,"$142,250.00",$820.00
Kearney County,"$236,140.00","$1,360.00"
Keith County,"$169,830.00",$980.00
Keya Paha County,"$117,690.00",$680.00
Kimball County,"$118,880.00",$680.00
Knox County,"$126,450.00",$730.00
Lancaster County,"$297,060.00","$1,710.00"
Lincoln County,"$198,060.00","$1,140.00"
Logan County,"$173,080.00",$990.00
Loup County,"$130,560.00",$750.00
McPherson County,"$134,350.00",$770.00
Madison County,"$212,020.00","$1,220.00"
Merrick County,"$181,730.00","$1,040.00"
Morrill County,"$121,150.00",$700.00
Nance County,"$132,840.00",$760.00
Nemaha County,"$135,320.00",$780.00
Nuckolls County,"$98,330.00",$570.00
Otoe County,"$200,120.00","$1,150.00"
Pawnee County,"$80,910.00",$470.00
Perkins County,"$161,390.00",$930.00
Phelps County,"$187,460.00","$1,080.00"
Pierce County,"$197,630.00","$1,140.00"
Platte County,"$224,780.00","$1,290.00"
Polk County,"$192,330.00","$1,110.00"
Red Willow County,"$155,230.00",$890.00
Richardson County,"$104,390.00",$600.00
Rock County,"$134,570.00",$770.00
Saline County,"$195,470.00","$1,120.00"
Sarpy County,"$337,330.00","$1,940.00"
Saunders County,"$252,270.00","$1,450.00"
Scotts Bluff County,"$174,590.00","$1,000.00"
Seward County,"$248,600.00","$1,430.00"
Sheridan County,"$111,310.00",$640.00
Sherman County,"$146,030.00",$840.00
Sioux County,"$153,280.00",$880.00
Stanton County,"$199,360.00","$1,150.00"
Thayer County,"$114,880.00",$660.00
Thomas County,"$122,240.00",$700.00
Thurston County,"$113,690.00",$650.00
Valley County,"$132,190.00",$760.00
Washington County,"$291,190.00","$1,670.00"
Wayne County,"$220,350.00","$1,270.00"
Webster County,"$110,340.00",$630.00
Wheeler County,"$147,010.00",$840.00
York County,"$190,280.00","$1,090.00"
Churchill County,"$310,970.00","$1,790.00"
Clark County,"$470,440.00","$2,700.00"
Douglas County,"$612,960.00","$3,520.00"
Elko County,"$294,690.00","$1,690.00"
Esmeralda County,"$106,960.00",$610.00
Humboldt County,"$267,970.00","$1,540.00"
Lander County,"$219,660.00","$1,260.00"
Lincoln County,"$217,990.00","$1,250.00"
Lyon County,"$357,510.00","$2,050.00"
Mineral County,"$182,610.00","$1,050.00"
Nye County,"$277,570.00","$1,600.00"
Pershing County,"$173,430.00","$1,000.00"
Storey County,"$414,310.00","$2,380.00"
Washoe County,"$574,510.00","$3,300.00"
White Pine County,"$205,260.00","$1,180.00"
Belknap County,"$444,790.00","$2,560.00"
Carroll County,"$376,760.00","$2,170.00"
Cheshire County,"$354,410.00","$2,040.00"
Coos County,"$183,140.00","$1,050.00"
Grafton County,"$383,130.00","$2,200.00"
Hillsborough County,"$465,820.00","$2,680.00"
Merrimack County,"$401,920.00","$2,310.00"
Rockingham County,"$546,050.00","$3,140.00"
Strafford County,"$399,910.00","$2,300.00"
Sullivan County,"$255,170.00","$1,470.00"
Atlantic County,"$341,670.00","$1,960.00"
Bergen County,"$663,690.00","$3,810.00"
Burlington County,"$378,190.00","$2,170.00"
Camden County,"$311,530.00","$1,790.00"
Cape May County,"$513,540.00","$2,950.00"
Cumberland County,"$240,510.00","$1,380.00"
Essex County,"$563,920.00","$3,240.00"
Gloucester County,"$335,830.00","$1,930.00"
Hudson County,"$573,730.00","$3,300.00"
Hunterdon County,"$545,790.00","$3,140.00"
Mercer County,"$416,920.00","$2,400.00"
Middlesex County,"$512,570.00","$2,950.00"
Monmouth County,"$677,390.00","$3,890.00"
Morris County,"$623,130.00","$3,580.00"
Ocean County,"$440,090.00","$2,530.00"
Passaic County,"$502,320.00","$2,890.00"
Salem County,"$263,570.00","$1,510.00"
Somerset County,"$600,370.00","$3,450.00"
Sussex County,"$396,400.00","$2,280.00"
Union County,"$563,590.00","$3,240.00"
Warren County,"$372,730.00","$2,140.00"
Bernalillo County,"$317,600.00","$1,830.00"
Catron County,"$184,930.00","$1,060.00"
Chaves County,"$152,740.00",$880.00
Cibola County,"$129,170.00",$740.00
Colfax County,"$173,300.00","$1,000.00"
Curry County,"$173,090.00",$990.00
De Baca County,"$170,070.00",$980.00
a Ana County,"$236,670.00","$1,360.00"
Eddy County,"$214,640.00","$1,230.00"
Grant County,"$176,960.00","$1,020.00"
Guadalupe County,"$115,390.00",$660.00
Harding County,"$93,110.00",$540.00
Hidalgo County,"$122,710.00",$710.00
Lea County,"$212,270.00","$1,220.00"
Lincoln County,"$228,420.00","$1,310.00"
Los Alamos County,"$487,080.00","$2,800.00"
Luna County,"$121,100.00",$700.00
McKinley County,"$76,430.00",$440.00
Mora County,"$129,060.00",$740.00
Otero County,"$165,980.00",$950.00
Quay County,"$88,480.00",$510.00
Rio Arriba County,"$248,540.00","$1,430.00"
Roosevelt County,"$146,390.00",$840.00
Sandoval County,"$339,260.00","$1,950.00"
San Juan County,"$217,660.00","$1,250.00"
San Miguel County,"$191,170.00","$1,100.00"
Santa Fe County,"$526,150.00","$3,020.00"
Sierra County,"$155,860.00",$900.00
Socorro County,"$154,140.00",$890.00
Taos County,"$381,050.00","$2,190.00"
Torrance County,"$151,890.00",$870.00
Union County,"$146,280.00",$840.00
Valencia County,"$243,590.00","$1,400.00"
Albany County,"$305,230.00","$1,750.00"
Allegany County,"$104,730.00",$600.00
Bronx County,"$537,380.00","$3,090.00"
Broome County,"$162,170.00",$930.00
Cattaraugus County,"$112,860.00",$650.00
Cayuga County,"$172,990.00",$990.00
Chautauqua County,"$133,300.00",$770.00
Chemung County,"$162,770.00",$940.00
Chenango County,"$137,040.00",$790.00
Clinton County,"$185,070.00","$1,060.00"
Columbia County,"$331,420.00","$1,900.00"
Cortland County,"$169,130.00",$970.00
Delaware County,"$188,500.00","$1,080.00"
Dutchess County,"$420,830.00","$2,420.00"
Erie County,"$263,300.00","$1,510.00"
Essex County,"$213,960.00","$1,230.00"
Franklin County,"$137,580.00",$790.00
Fulton County,"$166,990.00",$960.00
Genesee County,"$168,810.00",$970.00
Greene County,"$265,630.00","$1,530.00"
Hamilton County,"$258,890.00","$1,490.00"
Herkimer County,"$148,160.00",$850.00
Jefferson County,"$197,060.00","$1,130.00"
Kings County,"$949,530.00","$5,460.00"
Lewis County,"$169,030.00",$970.00
Livingston County,"$187,380.00","$1,080.00"
Madison County,"$199,870.00","$1,150.00"
Monroe County,"$240,070.00","$1,380.00"
Montgomery County,"$151,480.00",$870.00
Nassau County,"$727,220.00","$4,180.00"
New York County,"$1,090,290.00","$6,270.00"
Niagara County,"$206,490.00","$1,190.00"
Oneida County,"$206,660.00","$1,190.00"
Onondaga County,"$223,990.00","$1,290.00"
Ontario County,"$251,900.00","$1,450.00"
Orange County,"$416,990.00","$2,400.00"
Orleans County,"$139,430.00",$800.00
Oswego County,"$169,880.00",$980.00
Otsego County,"$188,180.00","$1,080.00"
Putnam County,"$520,230.00","$2,990.00"
Queens County,"$746,960.00","$4,290.00"
Rensselaer County,"$269,920.00","$1,550.00"
Richmond County,"$725,280.00","$4,170.00"
Rockland County,"$647,730.00","$3,720.00"
St. Lawrence County,"$139,290.00",$800.00
Saratoga County,"$365,480.00","$2,100.00"
Schenectady County,"$254,310.00","$1,460.00"
Schoharie County,"$190,700.00","$1,100.00"
Schuyler County,"$174,700.00","$1,000.00"
Seneca County,"$152,660.00",$880.00
Steuben County,"$146,560.00",$840.00
Suffolk County,"$630,790.00","$3,630.00"
Sullivan County,"$292,910.00","$1,680.00"
Tioga County,"$160,180.00",$920.00
Tompkins County,"$264,490.00","$1,520.00"
Ulster County,"$394,090.00","$2,270.00"
Warren County,"$254,690.00","$1,460.00"
Washington County,"$177,600.00","$1,020.00"
Wayne County,"$191,790.00","$1,100.00"
Westchester County,"$696,480.00","$4,000.00"
Wyoming County,"$165,500.00",$950.00
Yates County,"$190,420.00","$1,090.00"
Alamance County,"$277,660.00","$1,600.00"
Alexander County,"$209,150.00","$1,200.00"
Alleghany County,"$207,660.00","$1,190.00"
Anson County,"$124,160.00",$710.00
Ashe County,"$231,550.00","$1,330.00"
Avery County,"$243,340.00","$1,400.00"
Beaufort County,"$189,080.00","$1,090.00"
Bertie County,"$99,970.00",$570.00
Bladen County,"$131,270.00",$750.00
Brunswick County,"$378,050.00","$2,170.00"
Buncombe County,"$451,750.00","$2,600.00"
Burke County,"$233,920.00","$1,340.00"
Cabarrus County,"$389,650.00","$2,240.00"
Caldwell County,"$226,100.00","$1,300.00"
Camden County,"$302,410.00","$1,740.00"
Carteret County,"$357,920.00","$2,060.00"
Caswell County,"$157,780.00",$910.00
Catawba County,"$283,010.00","$1,630.00"
Chatham County,"$463,870.00","$2,670.00"
Cherokee County,"$217,780.00","$1,250.00"
Chowan County,"$213,290.00","$1,230.00"
Clay County,"$274,750.00","$1,580.00"
Cleveland County,"$238,230.00","$1,370.00"
Columbus County,"$133,880.00",$770.00
Craven County,"$239,480.00","$1,380.00"
Cumberland County,"$226,540.00","$1,300.00"
Currituck County,"$375,570.00","$2,160.00"
Dare County,"$443,900.00","$2,550.00"
Davidson County,"$242,200.00","$1,390.00"
Davie County,"$253,920.00","$1,460.00"
Duplin County,"$128,560.00",$740.00
Durham County,"$439,150.00","$2,520.00"
Edgecombe County,"$115,770.00",$670.00
Forsyth County,"$288,990.00","$1,660.00"
Franklin County,"$301,580.00","$1,730.00"
Gaston County,"$295,980.00","$1,700.00"
Gates County,"$171,030.00",$980.00
Graham County,"$162,580.00",$930.00
Granville County,"$245,950.00","$1,410.00"
Greene County,"$120,650.00",$690.00
Guilford County,"$288,700.00","$1,660.00"
Halifax County,"$106,960.00",$610.00
Harnett County,"$297,710.00","$1,710.00"
Haywood County,"$270,310.00","$1,550.00"
Henderson County,"$394,490.00","$2,270.00"
Hertford County,"$115,930.00",$670.00
Hoke County,"$206,900.00","$1,190.00"
Hyde County,"$124,800.00",$720.00
Iredell County,"$370,600.00","$2,130.00"
Jackson County,"$264,940.00","$1,520.00"
Johnston County,"$336,760.00","$1,940.00"
Jones County,"$127,930.00",$740.00
Lee County,"$251,690.00","$1,450.00"
Lenoir County,"$116,250.00",$670.00
Lincoln County,"$364,980.00","$2,100.00"
McDowell County,"$175,620.00","$1,010.00"
Macon County,"$238,960.00","$1,370.00"
Madison County,"$279,430.00","$1,610.00"
Martin County,"$114,680.00",$660.00
Mecklenburg County,"$459,900.00","$2,640.00"
Mitchell County,"$210,890.00","$1,210.00"
Montgomery County,"$156,840.00",$900.00
Moore County,"$385,160.00","$2,210.00"
Nash County,"$208,940.00","$1,200.00"
New Hanover County,"$413,740.00","$2,380.00"
Northampton County,"$106,650.00",$610.00
Onslow County,"$274,110.00","$1,580.00"
Orange County,"$492,680.00","$2,830.00"
Pamlico County,"$218,930.00","$1,260.00"
Pasquotank County,"$233,010.00","$1,340.00"
Pender County,"$331,440.00","$1,910.00"
Perquimans County,"$220,800.00","$1,270.00"
Person County,"$201,980.00","$1,160.00"
Pitt County,"$237,170.00","$1,360.00"
Polk County,"$293,330.00","$1,690.00"
Randolph County,"$230,100.00","$1,320.00"
Richmond County,"$126,050.00",$720.00
Robeson County,"$90,890.00",$520.00
Rockingham County,"$187,010.00","$1,070.00"
Rowan County,"$284,850.00","$1,640.00"
Rutherford County,"$216,940.00","$1,250.00"
Sampson County,"$133,990.00",$770.00
Scotland County,"$114,680.00",$660.00
Stanly County,"$246,060.00","$1,410.00"
Stokes County,"$201,580.00","$1,160.00"
Surry County,"$189,710.00","$1,090.00"
Swain County,"$218,930.00","$1,260.00"
Transylvania County,"$350,720.00","$2,020.00"
Tyrrell County,"$144,420.00",$830.00
Union County,"$464,790.00","$2,670.00"
Vance County,"$152,660.00",$880.00
Wake County,"$500,320.00","$2,880.00"
Warren County,"$130,120.00",$750.00
Washington County,"$111,650.00",$640.00
Watauga County,"$335,490.00","$1,930.00"
Wayne County,"$191,030.00","$1,100.00"
Wilkes County,"$190,540.00","$1,100.00"
Wilson County,"$221,430.00","$1,270.00"
Yadkin County,"$190,360.00","$1,090.00"
Yancey County,"$231,970.00","$1,330.00"
Adams County,"$114,750.00",$660.00
Barnes County,"$178,110.00","$1,020.00"
Benson County,"$88,050.00",$510.00
Billings County,"$341,710.00","$1,960.00"
Bottineau County,"$202,270.00","$1,160.00"
Bowman County,"$186,910.00","$1,070.00"
Burke County,"$150,350.00",$860.00
Burleigh County,"$325,030.00","$1,870.00"
Cass County,"$301,110.00","$1,730.00"
Cavalier County,"$129,580.00",$740.00
Dickey County,"$177,050.00","$1,020.00"
Divide County,"$183,410.00","$1,050.00"
Dunn County,"$258,530.00","$1,490.00"
Eddy County,"$122,380.00",$700.00
Emmons County,"$119,090.00",$680.00
Foster County,"$172,500.00",$990.00
Golden Valley County,"$126,300.00",$730.00
Grand Forks County,"$276,880.00","$1,590.00"
Grant County,"$90,910.00",$520.00
Griggs County,"$135,830.00",$780.00
Hettinger County,"$117,500.00",$680.00
Kidder County,"$146,750.00",$840.00
LaMoure County,"$125,030.00",$720.00
Logan County,"$107,860.00",$620.00
McHenry County,"$151,730.00",$870.00
McIntosh County,"$85,080.00",$490.00
McKenzie County,"$378,580.00","$2,180.00"
McLean County,"$246,980.00","$1,420.00"
Mercer County,"$207,880.00","$1,190.00"
Morton County,"$262,130.00","$1,510.00"
Mountrail County,"$235,430.00","$1,350.00"
Nelson County,"$121,320.00",$700.00
Oliver County,"$229,920.00","$1,320.00"
Pembina County,"$123,540.00",$710.00
Pierce County,"$151,940.00",$870.00
Ramsey County,"$209,160.00","$1,200.00"
Ransom County,"$185,210.00","$1,060.00"
Renville County,"$173,130.00","$1,000.00"
Richland County,"$188,180.00","$1,080.00"
Rolette County,"$98,540.00",$570.00
Sargent County,"$158,510.00",$910.00
Sheridan County,"$114,110.00",$660.00
Sioux County,"$92,610.00",$530.00
Slope County,"$128,520.00",$740.00
Stark County,"$275,910.00","$1,590.00"
Steele County,"$127,570.00",$730.00
Stutsman County,"$212,230.00","$1,220.00"
Towner County,"$130,110.00",$750.00
Traill County,"$204,710.00","$1,180.00"
Walsh County,"$133,190.00",$770.00
Ward County,"$266,800.00","$1,530.00"
Wells County,"$112,740.00",$650.00
Williams County,"$283,750.00","$1,630.00"
Adams County,"$169,780.00",$980.00
Allen County,"$183,400.00","$1,050.00"
Ashland County,"$189,620.00","$1,090.00"
Ashtabula County,"$174,200.00","$1,000.00"
Athens County,"$187,350.00","$1,080.00"
Auglaize County,"$196,190.00","$1,130.00"
Belmont County,"$153,520.00",$880.00
Brown County,"$192,110.00","$1,100.00"
Butler County,"$291,820.00","$1,680.00"
Carroll County,"$186,100.00","$1,070.00"
Champaign County,"$200,830.00","$1,150.00"
Clark County,"$189,890.00","$1,090.00"
Clermont County,"$296,700.00","$1,710.00"
Clinton County,"$207,830.00","$1,190.00"
Columbiana County,"$176,470.00","$1,010.00"
Coshocton County,"$153,400.00",$880.00
Crawford County,"$133,240.00",$770.00
